participant_id	X3rd_Ventricle	X4th_Ventricle	X5th_Ventricle	Brain_Stem	BrainSeg	BrainSegVol	BrainSegVol_to_eTIV	BrainSegVolNotVent	BrainSegVolNotVentSurf	CC_Anterior	CC_Central	CC_Mid_Anterior	CC_Mid_Posterior	CC_Posterior	CortexVol	CorticalWhiteMatterVol	CSF	EstimatedTotalIntraCranialVol	Laccumb	Lamyg	Lcaud	Left_Cerebellum_Cortex	Left_Cerebellum_White_Matter	Left_choroid_plexus	Left_Inf_Lat_Vent	Left_Lateral_Ventricle	Left_non_WM_hypointensities	Left_VentralDC	Left_vessel	Left_WM_hypointensities	lhCortexVol	lhCorticalWhiteMatterVol	Lhippo	lhSurfaceHoles	Lpal	Lput	LSurfArea	Lthal	LThickness	MaskVol	MaskVol_to_eTIV	non_WM_hypointensities	Optic_Chiasm	Raccumb	Ramyg	Rcaud	rhCortexVol	rhCorticalWhiteMatterVol	Rhippo	rhSurfaceHoles	Right_Cerebellum_Cortex	Right_Cerebellum_White_Matter	Right_choroid_plexus	Right_Inf_Lat_Vent	Right_Lateral_Ventricle	Right_non_WM_hypointensities	Right_VentralDC	Right_vessel	Right_WM_hypointensities	Rpal	Rput	RSurfArea	Rthal	RThickness	SubCortGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	SurfaceHoles	TotalGrayVol	WM_hypointensities	L_bankssts_surfarea	L_bankssts_thickavg	L_caudalanteriorcingulate_surfarea	L_caudalanteriorcingulate_thickavg	L_caudalmiddlefrontal_surfarea	L_caudalmiddlefrontal_thickavg	L_cuneus_surfarea	L_cuneus_thickavg	L_entorhinal_surfarea	L_entorhinal_thickavg	L_frontalpole_surfarea	L_frontalpole_thickavg	L_fusiform_surfarea	L_fusiform_thickavg	L_inferiorparietal_surfarea	L_inferiorparietal_thickavg	L_inferiortemporal_surfarea	L_inferiortemporal_thickavg	L_insula_surfarea	L_insula_thickavg	L_isthmuscingulate_surfarea	L_isthmuscingulate_thickavg	L_lateraloccipital_surfarea	L_lateraloccipital_thickavg	L_lateralorbitofrontal_surfarea	L_lateralorbitofrontal_thickavg	L_lingual_surfarea	L_lingual_thickavg	L_medialorbitofrontal_surfarea	L_medialorbitofrontal_thickavg	L_middletemporal_surfarea	L_middletemporal_thickavg	L_paracentral_surfarea	L_paracentral_thickavg	L_parahippocampal_surfarea	L_parahippocampal_thickavg	L_parsopercularis_surfarea	L_parsopercularis_thickavg	L_parsorbitalis_surfarea	L_parsorbitalis_thickavg	L_parstriangularis_surfarea	L_parstriangularis_thickavg	L_pericalcarine_surfarea	L_pericalcarine_thickavg	L_postcentral_surfarea	L_postcentral_thickavg	L_posteriorcingulate_surfarea	L_posteriorcingulate_thickavg	L_precentral_surfarea	L_precentral_thickavg	L_precuneus_surfarea	L_precuneus_thickavg	L_rostralanteriorcingulate_surfarea	L_rostralanteriorcingulate_thickavg	L_rostralmiddlefrontal_surfarea	L_rostralmiddlefrontal_thickavg	L_superiorfrontal_surfarea	L_superiorfrontal_thickavg	L_superiorparietal_surfarea	L_superiorparietal_thickavg	L_superiortemporal_surfarea	L_superiortemporal_thickavg	L_supramarginal_surfarea	L_supramarginal_thickavg	L_temporalpole_surfarea	L_temporalpole_thickavg	L_transversetemporal_surfarea	L_transversetemporal_thickavg	R_bankssts_surfarea	R_bankssts_thickavg	R_caudalanteriorcingulate_surfarea	R_caudalanteriorcingulate_thickavg	R_caudalmiddlefrontal_surfarea	R_caudalmiddlefrontal_thickavg	R_cuneus_surfarea	R_cuneus_thickavg	R_entorhinal_surfarea	R_entorhinal_thickavg	R_frontalpole_surfarea	R_frontalpole_thickavg	R_fusiform_surfarea	R_fusiform_thickavg	R_inferiorparietal_surfarea	R_inferiorparietal_thickavg	R_inferiortemporal_surfarea	R_inferiortemporal_thickavg	R_insula_surfarea	R_insula_thickavg	R_isthmuscingulate_surfarea	R_isthmuscingulate_thickavg	R_lateraloccipital_surfarea	R_lateraloccipital_thickavg	R_lateralorbitofrontal_surfarea	R_lateralorbitofrontal_thickavg	R_lingual_surfarea	R_lingual_thickavg	R_medialorbitofrontal_surfarea	R_medialorbitofrontal_thickavg	R_middletemporal_surfarea	R_middletemporal_thickavg	R_paracentral_surfarea	R_paracentral_thickavg	R_parahippocampal_surfarea	R_parahippocampal_thickavg	R_parsopercularis_surfarea	R_parsopercularis_thickavg	R_parsorbitalis_surfarea	R_parsorbitalis_thickavg	R_parstriangularis_surfarea	R_parstriangularis_thickavg	R_pericalcarine_surfarea	R_pericalcarine_thickavg	R_postcentral_surfarea	R_postcentral_thickavg	R_posteriorcingulate_surfarea	R_posteriorcingulate_thickavg	R_precentral_surfarea	R_precentral_thickavg	R_precuneus_surfarea	R_precuneus_thickavg	R_rostralanteriorcingulate_surfarea	R_rostralanteriorcingulate_thickavg	R_rostralmiddlefrontal_surfarea	R_rostralmiddlefrontal_thickavg	R_superiorfrontal_surfarea	R_superiorfrontal_thickavg	R_superiorparietal_surfarea	R_superiorparietal_thickavg	R_superiortemporal_surfarea	R_superiortemporal_thickavg	R_supramarginal_surfarea	R_supramarginal_thickavg	R_temporalpole_surfarea	R_temporalpole_thickavg	R_transversetemporal_surfarea	R_transversetemporal_thickavg	L_bankssts_gmvol	L_caudalanteriorcingulate_gmvol	L_caudalmiddlefrontal_gmvol	L_cuneus_gmvol	L_entorhinal_gmvol	L_frontalpole_gmvol	L_fusiform_gmvol	L_inferiorparietal_gmvol	L_inferiortemporal_gmvol	L_insula_gmvol	L_isthmuscingulate_gmvol	L_lateraloccipital_gmvol	L_lateralorbitofrontal_gmvol	L_lingual_gmvol	L_medialorbitofrontal_gmvol	L_middletemporal_gmvol	L_paracentral_gmvol	L_parahippocampal_gmvol	L_parsopercularis_gmvol	L_parsorbitalis_gmvol	L_parstriangularis_gmvol	L_pericalcarine_gmvol	L_postcentral_gmvol	L_posteriorcingulate_gmvol	L_precentral_gmvol	L_precuneus_gmvol	L_rostralanteriorcingulate_gmvol	L_rostralmiddlefrontal_gmvol	L_superiorfrontal_gmvol	L_superiorparietal_gmvol	L_superiortemporal_gmvol	L_supramarginal_gmvol	L_temporalpole_gmvol	L_transversetemporal_gmvol	R_bankssts_gmvol	R_caudalanteriorcingulate_gmvol	R_caudalmiddlefrontal_gmvol	R_cuneus_gmvol	R_entorhinal_gmvol	R_frontalpole_gmvol	R_fusiform_gmvol	R_inferiorparietal_gmvol	R_inferiortemporal_gmvol	R_insula_gmvol	R_isthmuscingulate_gmvol	R_lateraloccipital_gmvol	R_lateralorbitofrontal_gmvol	R_lingual_gmvol	R_medialorbitofrontal_gmvol	R_middletemporal_gmvol	R_paracentral_gmvol	R_parahippocampal_gmvol	R_parsopercularis_gmvol	R_parsorbitalis_gmvol	R_parstriangularis_gmvol	R_pericalcarine_gmvol	R_postcentral_gmvol	R_posteriorcingulate_gmvol	R_precentral_gmvol	R_precuneus_gmvol	R_rostralanteriorcingulate_gmvol	R_rostralmiddlefrontal_gmvol	R_superiorfrontal_gmvol	R_superiorparietal_gmvol	R_superiortemporal_gmvol	R_supramarginal_gmvol	R_temporalpole_gmvol	R_transversetemporal_gmvol	AvgThickness	TSurfArea
sub-0004	n/a	n/a	n/a	n/a	1301750	1301752	0.772532	1287660	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1265.8	1685046.309	768.8	1788.4	4013.5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4937.9	n/a	1819.2	7026.5	n/a	9047.3	n/a	n/a	n/a	n/a	n/a	819.9	1818.2	4415.1	n/a	n/a	4885.8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1690.9	6553.3	n/a	8038.7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0013	n/a	n/a	n/a	n/a	1088580	1088575	0.784568	1070153	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1265.4	1387483.649	593.4	1561	3629.2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3915.3	n/a	1844.9	5831.1	n/a	7496.1	n/a	n/a	n/a	n/a	n/a	765	1402	3657.6	n/a	n/a	4092.9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1580.6	5509.4	n/a	6837.2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0071	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	903	2.536	621	3.225	2120	2.859	1307	1.986	444	3.531	250	3.071	2934	2.768	4193	2.369	3464	2.643	1915	3.114	707	2.945	5169	2.195	2116	2.573	2696	2.113	1871	2.736	2909	2.706	1590	2.638	684	3.172	1515	2.902	542	2.79	1527	2.763	1295	1.668	4292	2.125	1092	2.737	4513	2.681	3303	2.598	709	3.184	5856	2.609	6464	2.99	4775	2.284	3854	2.725	3244	2.653	463	3.568	485	1.872	844	2.732	663	2.772	2337	2.476	1381	1.948	418	3.311	327	2.441	2912	2.783	4552	2.719	3159	2.546	2207	2.883	646	2.87	4789	2.405	2257	2.471	2774	2.178	1635	2.398	3005	2.671	1698	2.451	604	2.762	1248	2.855	709	2.696	1338	2.561	1175	1.463	4337	2.18	1353	2.723	4539	2.639	3839	2.43	767	2.928	5551	2.37	6626	2.855	4592	2.284	3596	2.53	3013	2.577	418	3.816	331	2.462	2195	2337	6477	2673	2264	1139	8591	11297	10977	5884	2080	12673	5755	6209	5732	9399	4543	2641	4958	2003	4662	2069	10070	3096	13163	9159	2367	17327	22131	11899	12849	9709	2313	953	2195	2041	6442	2851	2146	1162	8761	14249	9595	6347	1805	12614	6032	6418	4763	9963	4598	1902	3897	2591	4151	1628	10955	3948	13142	9586	2620	15781	22325	11498	11171	8601	2560	925	n/a	n/a
sub-0076	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1270	2.323	740	2.618	2943	2.787	1518	1.857	390	2.399	216	2.343	3506	2.422	5667	2.671	3289	2.388	2095	2.963	1121	2.569	5345	2.026	2470	2.408	3122	2.242	2023	2.332	3201	2.376	1599	2.451	780	3.014	1834	2.88	637	2.266	1552	2.542	1351	1.748	4559	2.289	1244	2.734	5690	2.576	3972	2.674	948	2.816	7225	2.494	8414	2.94	5899	2.638	4491	2.753	3788	2.919	393	2.839	537	1.925	1042	2.648	977	2.751	2952	2.534	1875	2.11	373	2.696	337	2.373	3654	2.56	6456	2.652	n/a	n/a	2674	2.764	858	2.367	4328	2.451	2599	2.363	3512	2.262	1634	2.106	n/a	n/a	1785	2.727	792	2.787	1539	2.687	805	2.675	1593	2.307	1827	1.644	4134	2.322	1402	2.769	6443	2.407	4508	2.745	779	2.814	6675	2.206	7806	2.771	6197	2.609	3842	2.63	4415	2.729	229	2.487	329	2.319	3167	2099	9535	3094	1295	776	10104	17706	9915	6065	3238	13051	6624	7795	5943	9438	4129	2809	5929	2006	4671	2254	12023	4018	15650	11451	3102	22240	28842	17841	14481	12486	1429	1072	2680	3005	8374	4224	1398	1213	10823	19269	n/a	7452	2153	12519	6931	8755	4139	n/a	5369	2466	4604	2970	4478	2737	11056	4472	16873	12406	2682	19041	25880	18546	12403	13280	848	950	n/a	n/a
sub-0077	705.7	1511.3	0	19311.5	1140800	1138666	0.837975	1120562	1120193.905	953	414.1	408.1	417	898.7	490637.9431	442000.9621	1144.7	1358830.05	505.4	1449.1	4009.2	44637.9	17150.8	1031.5	17.6	6596.5	0	3693.9	73	0	245013.9495	219453.915	4329.6	55	1701.1	6826.9	79937	7890.6	2.71041	1552154	1.142272	8.8	105.5	712.8	1388.1	4068.8	245623.9936	222547.0471	4164	73	46994.4	17965.2	1194.6	26.4	6538.9	0	3624.3	147	0	1596.6	6393.1	79752.4	7455.1	2.72054	62813	1013374.905	998395.9052	995879	128	643414.9431	715	898	2.506	674	2.705	1867	2.719	1308	2.149	403	2.745	208	2.861	2745	2.439	3918	2.75	2636	2.461	2248	2.947	942	2.933	4462	2.122	2432	2.837	2905	1.892	1957	2.116	2652	2.923	1496	2.688	722	2.519	1372	3.002	697	3.332	1101	2.7	1175	1.862	4049	2.408	1208	2.582	5392	2.69	3410	2.708	980	2.988	5962	2.652	6803	3.252	4573	2.573	3836	3.13	4496	2.749	442	3.64	554	2.499	787	2.936	855	2.484	2017	2.751	1265	2.236	270	4.233	258	2.849	3096	2.779	4833	2.914	2499	2.828	2289	3.25	992	2.495	4463	2.435	2234	2.682	2794	2.034	2014	2.358	2743	2.762	1430	2.717	751	2.654	1198	3.022	807	2.93	1565	2.681	1242	2.154	4262	2.297	1462	2.436	5117	2.766	3504	2.719	847	2.807	5489	2.491	6406	3.072	5202	2.604	3633	3.04	3242	3.021	491	3.374	400	2.403	2319	2302	5838	3059	1495	871	8240	12708	7569	6868	2956	11717	6614	6201	4713	9992	4454	2281	4787	2752	3979	2082	12065	3577	16750	10066	2986	19018	26177	12717	14398	14167	2455	1574	2252	2484	5422	3560	1485	1015	10261	16585	8990	7401	2461	12464	7014	6406	5453	9297	4399	2505	4299	3384	4902	2433	11445	3581	16531	9857	2753	16765	22406	15318	13039	11002	2629	1141	n/a	n/a
sub-0083	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1100	2.94	887	2.713	3223	2.883	2020	1.888	392	2.084	269	3.179	3774	2.457	6107	2.784	4091	2.446	2610	3.04	1336	2.996	6509	2.103	3253	2.296	4048	2.152	2062	2.334	3245	2.68	1981	2.689	1159	2.61	1820	2.81	841	2.513	1621	2.547	1600	1.535	5311	2.269	1776	2.626	6320	2.898	4617	2.741	1264	2.836	7423	2.56	9438	3.04	6970	2.423	4207	2.948	4284	2.92	548	2.522	587	2.542	1259	2.71	1282	2.608	2556	2.602	2217	1.997	322	1.799	353	1.926	4027	2.438	6139	2.671	3433	2.198	2669	2.521	994	3.003	6940	2.289	3449	1.96	3408	2.184	2625	1.943	4710	2.132	2426	2.872	688	2.88	1374	2.405	975	2.446	1905	2.412	2168	1.703	5198	2.084	1692	2.904	6351	2.692	5228	2.704	847	2.471	6851	2.029	9018	2.749	6060	2.436	4735	2.354	4550	2.737	586	2.255	399	2.5	3129	2736	10534	4051	1046	1272	10164	19609	12600	8111	4256	16531	8508	9705	5711	10861	5899	3540	5818	2850	5069	2261	13537	5147	19807	13906	4384	23618	32825	19200	14963	13996	1918	1688	3530	3912	7503	4761	825	1000	11394	18556	9208	7338	3211	18617	7829	8031	6257	12737	7337	2254	3744	3288	5716	3441	12245	5490	18898	14703	2478	16877	29759	16913	14366	13907	2118	1122	n/a	n/a
sub-0090	724.1	1939.6	0	21259.2	1140100	1140097	0.803022	1127583	1127104.91	666.9	693	624.1	523.3	931.9	532677.4255	392029.4842	1037.8	1419758.641	622	1730	3909.3	51599.9	16073.2	951.6	120.5	3726.1	0	3851.6	7.8	0	266154.8998	191390.5768	4839.1	77	1720.8	6102.5	81078.8	8317.3	2.77713	1620349	1.141285	12.5	127.6	776.3	1643.5	4068	266522.5257	200638.9073	4997.6	88	56912.9	16250.7	929.3	42.6	3705.1	0	4065.2	62.8	0	1425.2	5971.5	86430	7478.7	2.65937	63336	999473.9097	990419.9097	988416	165	703934.4255	739.7	1080	2.61	578	3.288	2556	2.999	1062	2.003	390	3.021	155	2.805	2837	2.612	4283	2.577	3170	2.66	2129	3.403	1133	2.858	3768	2.184	2949	3.023	2458	2.123	2220	2.68	2583	3.153	1234	2.693	720	2.829	1624	3.046	673	2.856	1526	2.888	826	1.85	3564	2.202	1169	2.887	5093	2.818	3730	2.45	843	3.361	4978	2.899	7681	3.252	4952	2.551	4091	3.115	4015	2.789	459	3.962	551	2.54	1135	2.868	850	2.773	1841	2.981	1343	1.979	723	2.957	227	2.742	3535	2.876	5287	2.881	3323	2.774	2479	3.203	761	2.268	4346	2.426	2438	3.061	3367	2.058	2019	2.423	3249	3.085	1601	2.581	1076	2.64	1371	2.822	862	2.92	1502	2.734	1396	1.647	3751	2.037	1131	2.633	5398	2.651	4334	2.612	740	2.973	5111	2.309	7822	2.9	5442	2.409	3645	3.062	3498	2.8	425	4.081	403	2.405	2988	2205	8943	2528	1634	636	8633	13934	10476	7242	3520	10692	10079	6175	6511	10899	3689	2553	6038	2775	5770	1639	9225	3766	16204	10167	3586	18344	29499	14916	15672	13407	2916	1544	3138	2805	6618	2997	3032	992	11039	17947	11322	8227	1865	12016	8829	7583	5909	12964	4654	3241	4657	3891	5383	2160	8823	3082	15633	12223	2622	15172	27475	14770	13546	11177	2717	1147	n/a	n/a
sub-0107	531.1	2127.4	0	20284.6	1144540	1144536	0.750984	1125874	1126120.64	881.3	415.4	411.8	450.5	1072.8	472560.8083	473416.8314	902.2	1524047.458	648.8	1664.2	4067.6	43936.1	12706.5	885	202	8328.4	0	4262.2	48	0	237474.4835	235739.1528	4393.4	80	1524.4	6686.4	89111.8	7554	2.41715	1615965	1.060311	26.1	46.2	713.3	1877	4306.7	235086.3247	237677.6785	4444.6	77	48635.8	13992	1104.9	108.9	5032.2	0	3769.8	50.7	0	1670.2	6000.3	87774.1	7056.6	2.41344	62658	1025260.64	1009918.64	1008365	157	626969.8083	867.7	1054	2.447	673	2.718	2375	2.554	1396	1.782	477	2.203	220	2.373	3995	2.399	4463	2.543	3161	2.18	2415	3.137	1099	2.794	4770	2.028	2905	2.457	3501	1.922	2150	2.327	2906	2.67	1445	2.409	783	2.349	1872	2.662	713	2.383	1300	2.395	1575	1.603	4105	2.239	1376	2.423	5410	2.56	4043	2.377	951	2.859	5383	2.105	8174	2.685	5138	2.29	4028	2.655	4177	2.672	476	3.425	602	2.302	932	2.675	667	2.472	2205	2.439	1648	1.685	290	2.215	280	2.496	3462	2.472	4967	2.534	2708	2.379	2439	3.006	909	2.452	5187	2.243	2680	2.473	3222	1.956	1730	2.231	3454	2.657	1668	2.405	643	2.4	1647	2.349	704	2.235	1758	2.32	1616	1.599	3608	2.06	1391	2.598	5454	2.535	4271	2.521	755	2.949	5709	2.135	7808	2.61	5270	2.354	3854	2.758	3951	2.53	493	3.297	393	2.226	2710	2074	6366	2717	1233	771	10711	12695	8153	7638	3122	11259	7958	7009	5354	9835	3741	2082	5625	2276	3618	2337	10260	3427	14892	10185	3071	13359	24777	13430	11719	12074	2373	1568	2398	1759	5955	3004	838	966	9003	13583	7279	7472	2264	12739	7423	6642	4456	11470	4047	1767	4367	2155	5025	2264	8273	3819	14621	10845	2527	14668	24092	14126	12644	10952	2350	1050	n/a	n/a
sub-0110	846.8	1425	0	16277.3	953643	953643	0.78042	931033	930916.6199	693.6	359.8	386.6	296.7	782.8	401117.4052	368611.2146	1181	1221961.434	608.8	1437.7	3484.3	39805	13251.9	1153.2	115	8494.6	0	3467.5	29.8	0	198648.5584	182221.9841	3711.6	29	1712.2	5601.4	66977.8	6608	2.57792	1358515	1.111749	3	83.6	663.9	1209.1	3711.6	202468.8469	186389.2306	4004.9	22	42348.6	13102.9	1556.2	44.9	8144.5	0	3423.1	46.5	0	1326.7	5213.9	68007.9	6587.7	2.59217	54690	845367.6199	826050.6199	824502	51	536894.4052	770.6	996	2.432	449	2.967	1913	2.683	1210	1.791	260	2.986	137	3.413	2604	2.447	3990	2.628	2217	2.436	1677	2.933	670	2.815	3898	2.093	2026	2.977	2380	1.934	1506	2.25	2313	3.002	1015	2.469	653	2.481	1452	2.865	503	3.155	1047	2.724	915	1.545	3394	2.097	863	2.776	3901	2.689	3170	2.497	565	3.397	4621	2.582	5315	3.087	4464	2.272	2871	3.007	3240	2.695	391	3.645	351	2.477	818	2.786	723	2.649	1288	2.749	1109	1.832	289	3.15	262	2.811	2931	2.633	4219	2.666	2580	2.703	1788	3.185	626	2.961	3856	2.379	1842	2.738	2386	2.03	1556	2.543	2588	2.961	1173	2.269	673	2.546	1093	2.775	568	2.849	1193	2.581	1163	1.476	3263	2.224	887	2.773	3678	2.801	3780	2.444	572	2.817	4678	2.451	4939	2.968	4363	2.322	2785	2.905	3575	2.724	494	3.098	269	2.407	2465	1490	5815	2403	1077	744	7401	12471	6511	5059	1958	9907	6018	5243	3666	9201	2765	1923	4887	2202	3429	1333	8393	2627	11736	8660	2150	14375	19209	11708	10469	9881	2169	966	2296	2251	3768	2390	1360	1079	8732	12886	8220	5709	1919	10512	5704	5290	5084	9776	2907	2028	3549	2187	3705	1549	8622	2688	11663	9642	1829	14243	17894	11361	9243	10993	1986	725	n/a	n/a
sub-0111	705.1	1977.5	0	19402.2	1116940	1116936	0.743444	1099965	1100023.42	1014.7	403.5	414.9	422	1014.9	500771.1529	407614.2669	889.2	1502381.474	818.3	1785.8	4186.5	50737.7	14162.5	969.9	140.9	7211.1	0	3789.4	50.6	0	250924.4823	202048.3707	3798.9	69	1465.2	6023.1	82994	8111.8	2.60963	1606602	1.06937	11.6	195.1	913	1682.4	4449.4	249846.6705	205565.8962	4203.9	71	52393	13652.8	1360	415.6	3932.9	0	3747.6	77.6	0	1593.3	5910.7	82920.1	7418.9	2.61903	62244	985933.4198	972277.4198	970452	140	665440.1529	768.9	876	2.476	579	2.835	2800	2.95	1401	1.88	550	2.503	259	2.817	2952	2.656	4283	2.703	3106	2.354	2238	3.163	986	2.833	4407	2.185	2404	2.646	3093	2.18	1939	2.29	2788	2.829	1408	2.647	755	2.621	1911	2.916	553	2.94	1125	2.917	1097	1.948	4342	2.278	1288	2.934	4411	2.653	4194	2.615	839	3.14	5281	2.526	7045	3.075	5702	2.261	3182	2.787	4289	2.719	516	3.44	397	2.44	665	2.731	839	2.983	2218	2.711	1563	1.939	392	2.386	295	3.287	2758	2.69	4445	2.753	2373	2.523	2732	2.777	863	2.659	4436	2.295	2222	2.89	3276	2.226	1691	2.528	2912	2.706	1556	2.484	574	3.066	1235	2.863	744	2.749	1345	2.707	1452	1.691	4480	2.288	1119	2.763	4237	2.792	4559	2.667	717	3.219	6056	2.511	6869	2.969	5719	2.324	3650	2.923	4198	2.842	410	3.71	321	2.418	2195	1779	9413	2740	1773	1094	9416	13514	8782	7359	3041	11499	7464	7719	5528	10491	4018	2314	6615	2319	3978	2074	11312	4122	12660	12084	3104	16264	26043	14721	10721	13418	2729	1116	1749	2831	6970	3336	1314	1587	8573	13406	7156	7672	2641	11998	7533	7770	5008	10568	4047	2112	4007	2815	4520	2165	11708	3462	12792	12748	2814	19377	24568	15182	12890	13697	2420	891	n/a	n/a
